022_2, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
022_3, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
022_4, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
022_5, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
022_6, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
022_7, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
022_8, c7, [' V11', ' V27', ' W19', ' W2'], [' b6:c7', ' b7:c8', ' c6:d7', ' c7:d8']
022_9, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
023_1, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
023_2, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
023_3, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
023_4, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
023_5, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
023_6, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
023_7, c8, [' W11', ' W19', ' W2', ' W27'], [' b7:c8', ' b8:c9', ' c7:d8', ' c8:d9']
023_8, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
023_9, c9, [' W11', ' W27', ' X19', ' X2'], [' b8:c9', ' b9:c10', ' c8:d9', ' c9:d10']
024_1, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_2, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_3, c11, [' X11', ' X27'], [' b10:c11', ' c10:d11']
024_4, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_5, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_6, c11, [' X11', ' X27'], [' b10:c11', ' c10:d11']
024_7, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_8, c10, [' X11', ' X19', ' X2', ' X27'], [' b10:c11', ' b9:c10', ' c10:d11', ' c9:d10']
024_9, c11, [' X11', ' X27'], [' b10:c11', ' c10:d11']
025_1, d1, [' T2'], [' c1:d2']
025_2, d1, [' T2'], [' c1:d2']
025_3, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
025_4, d1, [' T2'], [' c1:d2']
025_5, d1, [' T2'], [' c1:d2']
025_6, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
025_7, d1, [' T2'], [' c1:d2']
025_8, d1, [' T2'], [' c1:d2']
025_9, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
026_1, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
026_2, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
026_3, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
026_4, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
026_5, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
026_6, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
026_7, d2, [' T11', ' T2', ' T28'], [' c1:d2', ' c2:d3', ' d2:e3']
026_8, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
026_9, d3, [' T11', ' T28', ' U2', ' U20'], [' c2:d3', ' c3:d4', ' d2:e3', ' d3:e4']
027_1, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
027_2, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
027_3, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
027_4, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
027_5, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
